,Date,Compétition,Lieu,Adversaire,Score
0,Années 2020,Années 2020,Années 2020,Années 2020,Années 2020
1,2026-01-14,CAN,Neutre,Egypte,1-0
2,2026-01-09,CAN,Neutre,Mali,1-0
3,2026-01-03,CAN,Neutre,Soudan,3-1
4,2025-12-30,CAN,Neutre,Bénin,3-0
5,2025-12-27,CAN,Neutre,RD Congo,1-1
6,2025-12-23,CAN,Neutre,Botswana,3-0
7,2025-11-18,AMC,Neutre,Kenya,8-0
8,2025-11-15,AMC,Neutre,Brésil,0-2
9,2025-10-14,QCDM,Domicile,Mauritanie,4-0
10,2025-10-10,QCDM,Extérieur,Soudan du Sud,5-0
11,2025-09-09,QCDM,Extérieur,RD Congo,3-2
12,2025-09-05,QCDM,Domicile,Soudan du Sud,2-0
13,2025-06-10,AMC,Extérieur,Angleterre,3-1
14,2025-06-06,AMC,Extérieur,Irlande,1-1
15,2025-03-25,QCDM,Domicile,Togo,2-0
16,2025-03-21,QCDM,Extérieur,Soudan,0-0
17,2024-11-19,QCAN,Domicile,Burundi,2-0
18,2024-11-14,QCAN,Extérieur,Burkina Faso,1-0
19,2024-10-15,QCAN,Extérieur,Malawi,1-0
20,2024-10-11,QCAN,Domicile,Malawi,4-0
21,2024-09-09,QCAN,Extérieur,Burundi,1-0
22,2024-09-06,QCAN,Domicile,Burkina Faso,1-1
23,2024-06-10,QCDM,Extérieur,Mauritanie,1-0
24,2024-06-06,QCDM,Domicile,RD Congo,1-1
25,2024-03-26,AMC,Neutre,Bénin,1-0
26,2024-03-22,AMC,Neutre,Gabon,3-0
27,2024-01-29,CAN,Neutre,Côte d'Ivoire,1-1
28,2024-01-23,CAN,Neutre,Guinée,2-0
29,2024-01-19,CAN,Neutre,Cameroun,3-1
30,2024-01-15,CAN,Neutre,Gambie,3-0
31,2024-01-08,AMC,Domicile,Niger,1-0
32,2023-11-21,QCDM,Extérieur,Togo,0-0
33,2023-11-18,QCDM,Domicile,Soudan du Sud,4-0
34,2023-10-16,AMC,Neutre,Cameroun,1-0
35,2023-09-12,AMC,Domicile,Algérie,0-1
36,2023-09-09,QCAN,Domicile,Rwanda,1-1
37,2023-06-20,AMC,Neutre,Brésil,4-2
38,2023-06-17,QCAN,Extérieur,Bénin,1-1
39,2023-03-28,QCAN,Extérieur,Mozambique,1-0
40,2023-03-24,QCAN,Domicile,Mozambique,5-1
41,2022-12-04,CDM,Neutre,Angleterre,0-3
42,2022-11-29,CDM,Neutre,Equateur,2-1
43,2022-11-25,CDM,Neutre,Qatar,3-1
44,2022-11-21,CDM,Neutre,Pays-Bas,0-2
45,2022-09-27,AMC,Neutre,Iran,1-1
46,2022-09-24,AMC,Neutre,Bolivie,2-0
47,2022-06-07,QCAN,Extérieur,Rwanda,1-0
48,2022-06-04,QCAN,Domicile,Bénin,3-0
49,2022-03-29,QCDM,Domicile,Egypte,1-0
50,2022-03-25,QCDM,Extérieur,Egypte,0-1
51,2022-02-06,CAN,Neutre,Egypte,0-0
52,2022-02-02,CAN,Neutre,Burkina Faso,3-1
53,2022-01-30,CAN,Neutre,Guinée Equatoriale,3-1
54,2022-01-25,CAN,Neutre,Cap-Vert,2-0
55,2022-01-18,CAN,Neutre,Malawi,0-0
56,2022-01-14,CAN,Neutre,Guinée,0-0
57,2022-01-10,CAN,Neutre,Zimbabwe,1-0
58,2021-11-14,QCDM,Domicile,Congo,2-0
59,2021-11-11,QCDM,Extérieur,Togo,1-1
60,2021-10-12,QCDM,Extérieur,Namibie,3-1
61,2021-10-09,QCDM,Domicile,Namibie,4-1
62,2021-09-07,QCDM,Extérieur,Congo,3-1
63,2021-09-01,QCDM,Domicile,Togo,2-0
64,2021-06-08,AMC,Domicile,Cap-Vert,2-0
65,2021-06-05,AMC,Domicile,Zambie,3-1
66,2021-03-30,QCAN,Domicile,Eswatini,1-1
67,2021-03-26,QCAN,Extérieur,Congo,0-0
68,2020-11-15,QCAN,Extérieur,Guinée-Bissau,1-0
69,2020-11-11,QCAN,Domicile,Guinée-Bissau,2-0
70,2020-10-09,AMC,Extérieur,Maroc,1-3
71,Années 2010,Années 2010,Années 2010,Années 2010,Années 2010
72,2019-11-17,QCAN,Extérieur,Eswatini,4-1
73,2019-11-13,QCAN,Domicile,Congo,2-0
74,2019-10-10,AMC,Neutre,Brésil,1-1
75,2019-07-19,CAN,Neutre,Algérie,0-1
76,2019-07-14,CAN,Neutre,Tunisie,0-0
77,2019-07-10,CAN,Neutre,Bénin,1-0
78,2019-07-05,CAN,Neutre,Ouganda,1-0
79,2019-07-01,CAN,Neutre,Kenya,3-0
80,2019-06-27,CAN,Neutre,Algérie,0-1
81,2019-06-23,CAN,Neutre,Tanzanie,2-0
82,2019-06-16,AMC,Neutre,Nigeria,1-0
83,2019-03-26,AMC,Domicile,Mali,2-1
84,2019-03-23,QCAN,Domicile,Madagascar,2-0
85,2018-11-17,QCAN,Extérieur,Guinée Equatoriale,1-0
86,2018-10-16,QCAN,Extérieur,Soudan,1-0
87,2018-10-13,QCAN,Domicile,Soudan,3-0
88,2018-09-09,QCAN,Extérieur,Madagascar,2-2
89,2018-06-28,CDM,Neutre,Colombie,0-1
90,2018-06-24,CDM,Neutre,Japon,2-2
91,2018-06-19,CDM,Neutre,Pologne,2-1
92,2018-06-11,AMC,Neutre,Corée du Sud,2-0
93,2018-06-08,AMC,Extérieur,Croatie,1-2
94,2018-05-31,AMC,Extérieur,Luxembourg,0-0
95,2018-03-27,AMC,Neutre,Bosnie,0-0
96,2018-03-23,AMC,Neutre,Ouzbékistan,1-1
97,2017-11-14,QCDM,Domicile,Afrique du Sud,2-1
98,2017-11-10,QCDM,Extérieur,Afrique du Sud,2-0
99,2017-10-07,QCDM,Extérieur,Cap-Vert,2-0
100,2017-09-05,QCDM,Extérieur,Burkina Faso,2-2
101,2017-09-02,QCDM,Domicile,Burkina Faso,0-0
102,2017-06-10,QCAN,Domicile,Guinée Equatoriale,3-0
103,2017-06-05,AMC,Domicile,Ouganda,0-0
104,2017-03-27,AMC,Neutre,Côte d'Ivoire,1-1
105,2017-03-23,AMC,Neutre,Nigeria,1-1
106,2017-01-28,CAN,Neutre,Cameroun,0-0
107,2017-01-23,CAN,Neutre,Algérie,2-2
108,2017-01-19,CAN,Neutre,Zimbabwe,2-0
109,2017-01-15,CAN,Neutre,Tunisie,2-0
110,2017-01-11,AMC,Extérieur,Congo,2-0
111,2017-01-08,AMC,Extérieur,Libye,2-0
112,2016-10-08,QCDM,Domicile,Cap-Vert,2-0
113,2016-09-03,QCAN,Domicile,Namibie,2-0
114,2016-06-04,QCAN,Extérieur,Burundi,2-0
115,2016-05-28,AMC,Extérieur,Rwanda,2-0
116,2016-03-29,QCAN,Extérieur,Niger,2-1
117,2016-03-26,QCAN,Domicile,Niger,2-0
118,2015-11-17,QCDM,Domicile,Madagascar,3-0
119,2015-11-13,QCDM,Extérieur,Madagascar,2-2
120,2015-10-13,AMC,Extérieur,Algérie,0-1
121,2015-09-08,AMC,Extérieur,Afrique du Sud,0-1
122,2015-09-05,QCAN,Extérieur,Namibie,2-0
123,2015-06-13,QCAN,Domicile,Burundi,3-1
124,2015-03-28,AMC,Neutre,Ghana,2-1
125,2015-01-27,CAN,Neutre,Algérie,0-2
126,2015-01-23,CAN,Neutre,Afrique du Sud,1-1
127,2015-01-19,CAN,Neutre,Ghana,2-1
128,2015-01-13,AMC,Neutre,Guinée,5-2
129,2015-01-09,AMC,Neutre,Gabon,1-0
130,2014-11-19,QCAN,Domicile,Botswana,3-0
131,2014-11-15,QCAN,Extérieur,Egypte,1-0
132,2014-10-15,QCAN,Extérieur,Tunisie,0-1
133,2014-10-10,QCAN,Domicile,Tunisie,0-0
134,2014-09-10,QCAN,Extérieur,Botswana,2-0
135,2014-09-05,QCAN,Domicile,Egypte,2-0
136,2014-05-31,AMC,Neutre,Colombie,2-2
137,2014-05-25,AMC,Neutre,Kosovo,3-1
138,2014-05-21,AMC,Extérieur,Burkina Faso,1-1
139,2014-03-05,AMC,Neutre,Mali,1-1
140,2013-11-16,QCDM,Neutre,Côte d'Ivoire,1-1
141,2013-10-12,QCDM,Extérieur,Côte d'Ivoire,1-3
142,2013-09-07,QCDM,Neutre,Ouganda,1-0
143,2013-08-13,AMC,Neutre,Zambie,1-1
144,2013-06-16,QCDM,Extérieur,Liberia,2-0
145,2013-06-08,QCDM,Extérieur,Angola,1-1
146,2013-03-23,QCDM,Neutre,Angola,1-1
147,2013-02-05,AMC,Neutre,Guinée,1-1
148,2012-11-14,AMC,Extérieur,Niger,1-1
