,Région,Sexe,Sexe,Ensemble
,Région,Masculin,Féminin,Ensemble
0,DAKAR,1 965 101,1 931 463,3 896 564
1,DIOURBEL,1 029 953,1 050 858,2 080 811
2,FATICK,454 783,454 075,908 858
3,KAFFRINE,416 297,404 989,821 287
4,KAOLACK,675 832,662 839,1 338 671
5,KEDOUGOU,132 327,112 960,245 288
6,KOLDA,468 769,447 744,916 513
7,LOUGA,564 468,562 651,1 127 119
8,MATAM,429 115,404 541,833 657
9,SAINT-LOUIS,612 088,592 775,1 204 863
10,SEDHIOU,303 334,287 450,590 784
11,TAMBACOUNDA,504 595,483 598,988 193
12,THIES,1 258 870,1 208 652,2 467 523
13,ZIGUINCHOR,316 326,296 018,612 343
14,SENEGAL,9 131 859,8 900 614,18 032 473
