,Région,Département,Taille moyenne des ménages ordinaires
0,DAKAR,DAKAR,5.2
1,DAKAR,GUEDIAWAYE,6.76
2,DAKAR,KEUR.MASSAR,7.03
3,DAKAR,PIKINE,6.57
4,DAKAR,RUFISQUE,7.43
5,DIOURBEL,BAMBEY,11.82
6,DIOURBEL,DIOURBEL,10.99
7,DIOURBEL,MBACKE,10.37
8,FATICK,FATICK,9.48
9,FATICK,FOUNDIOUGNE,11.0
10,FATICK,GOSSAS,10.79
11,KAFFRINE,KAFFRINE,11.0
12,KAFFRINE,BIRKELANE,11.45
13,KAFFRINE,KOUNGHEUL,10.75
14,KAFFRINE,MALEM.HODDAR,11.84
15,KAOLACK,KAOLACK,9.81
16,KAOLACK,GUINGUINEO,10.57
17,KAOLACK,NIORO,12.35
18,KEDOUGOU,KEDOUGOU,7.93
19,KEDOUGOU,SALEMATA,7.08
20,KEDOUGOU,SARAYA,8.24
21,KOLDA,KOLDA,10.04
22,KOLDA,MEDINA.YORO.FOULAH,12.11
23,KOLDA,VELINGARA,10.42
24,LOUGA,LOUGA,9.35
25,LOUGA,KEBEMER,9.74
26,LOUGA,LINGUERE,8.6
27,MATAM,MATAM,10.93
28,MATAM,KANEL,14.07
29,MATAM,RANEROU,8.26
30,SAINT-LOUIS,SAINT.LOUIS,8.44
31,SAINT-LOUIS,DAGANA,8.41
32,SAINT-LOUIS,PODOR,9.1
33,SEDHIOU,BOUNKILING,11.7
34,SEDHIOU,GOUDOMP,12.23
35,SEDHIOU,SEDHIOU,11.78
36,TAMBACOUNDA,TAMBACOUNDA,10.39
37,TAMBACOUNDA,BAKEL,13.31
38,TAMBACOUNDA,GOUDIRY,13.83
39,TAMBACOUNDA,KOUMPENTOUM,10.18
40,THIES,THIES,9.38
41,THIES,MBOUR,8.42
42,THIES,TIVAOUANE,10.64
43,ZIGUINCHOR,BIGNONA,7.66
44,ZIGUINCHOR,OUSSOUYE,4.57
45,ZIGUINCHOR,ZIGUINCHOR,7.13
46,SENEGAL,TOTAL,8.83
